,source,target
158135,i wanted to hang myself here once.,i wanted to hang around once.
104789,this is ridiculous.,it's an absurd request.
521132,can please talk about how gross meredith is?,can we please talk about how meredith is not?
413507,sex o'clock.,sex hours.
156117,rundown worn-out weakened impotent castrated paralyzed handicapped,subdued worn weakened unapologetic paralyzed handicapped
428467,what do you got in your gay-rage?,what do you have in the gay-frame?
330440,i mean...men are just not worth it!,i mean men just don't stand for it!
194170,female victim. cut up into pieces.,a woman's victim cut to pieces.
380366,what the hell's he doing bringing a gun to work?,why on earth would he wear a gun to work?
452518,roland took a bullet from one ear.,roland pulled one of the bullets from his ear.
343691,with a nice clean cloth i clean her arms ... then i clean her chest and shoulders.,a delicate clean vein will clear her hands then chest and shoulders.
366478,burrows is going to die soon and things are going back to normal.,burrows will be dead soon and then things will start getting back to normal.
479392,you look like you've farted.,you look like you've gone right to the front.
275641,the river in the hall such a stupid idea.,the river in the lobby idea what an egghead move.
286541,i am one of those idiots.,i'm one of them.
340616,they were so glad to have someone act as protector even if it was just a human that they didn't bitch much.,they were so happy to have someone acting as their protector even though he's just a man of never complaining too much.
319489,who your son of a bitch who else could steal in this house?,this outcast of yours who else would steal in my house?
169860,i'm telling you the truth your fucking assholes!,jesus christ i'm telling you the truth.
321034,yeah so keep your mouth shut and smoke.,yeah so stop running your mouth and keep it going.
391793,"""all right die let me consume the land!""","he says ""all right zeus let the earth swallow me."""
306395,so i'm gonna take her liver.,so let me take the liver. - really?
498440,the idea of granny was a combination of black and red silk and he was quick to bite into his bottom.,an image of granny in black and red silk trotted across his mind and he bit heavily into his scone.
346325,because you'll be a nerd soon.,you'll be one of them soon.
427197,it may not feel like it but you're putting a huge fucking block in my road okay?,it doesn't have to look like that but you're blocking my way okay?
436690,mr. moore came by and had a bunch of those corporate fellas with him and it was damn embarrassing.,mr moore was here and he had these businessmen here with him and it was bloody embarrassing.
47695,this whole dating drama has been keeping me up at night and i hate being the bitchy naggy mom.,i've been up all night for that dating thing and i don't want to be the bad grumpy mom.
490350,he's going to make garters out of our guts!,she'il have our guts for garters.
551806,wait we'll run and shoot us!,wait a minute we run they shoot us!
95434,get him the hell out of here!,get him out of here.
444011,republican girls... cats.,republican girls... hot.
271161,your godson is crushing my leg.,it's your godson crushing my toes.
277491,you're gonna be singing for saint peter if you don't get your ass out of here now.,you're supposed to be singing to saint peter if you don't go right away.
343846,hoover is annoyed you won't help him find homosexuals in the state department.,hoover's still upset that you won't help him find homosexuals in the state resorts.
447708,"""fresco "" said wall in his voice ""would you be so kind as to instruct lenny that he shouldn't play with his balls in front of the police?""",'fresco ' said wall in dove-like tones 'will you please teach lenny not to play with himself in front of police officers?'
507986,no i'm not nuts it's been following me all fucking morning!,no i'm not crazy they've been following me all morning!
419105,i'm gonna go see the rat fight at kit burns's.,i'm going to go watch the ratfights over at kit burns's.
10895,what the hell...?,what in the name of... ?
305642,"""you long sock!"" ""'cause your pants flutters when i'm beating you""","""you poor man!"" ""you are trembling with fear when you stand here"""
315117,now she could see the words for sexual exticement written on a sheet of vellum nailed above the girl's head.,now she saw the words on the parchment paper written on a sheet of parchment pinned over the girl's head.
146594,one day the bullet will come to you and it will all be wasted.,one day you'll stop a bullet and it'll all be wasted.
573416,i'm so tired of this shit.,good! because i am sick of it here.
278539,it would be easier for him to take his pills in another suicide attempt.,it would make it easier for him to take his pills on his next suicide attempt.
15450,if you are convicted of heresy you will receive the most two years but if you point the gun at me i'll hang you for treason.,if you're convicted of heresy the most you'll get is two years but if you persist in pointing guns in my direction you'll hang for high treason.
227654,he kills every cell that comes in his way.,it kills every cell it comes in contact with.
282751,now that he was alert to it gentle really felt a tingle barely strong enough to recognize them tinged with fingers testicles and hollows.,now it was remarked upon gentle did indeed feel a subtle sensation barely strong enough to be called a tingle in his fingertips testicles and sinuses.
463127,not real rats except two of them.,well not literally rats except for two.
383405,the ood are crazy.,it's the ood they've gone mad.
317421,can you do it even if i break all the bones in your hand?,would you like some pork? if i broke every bone in your hand could you still do that?
84560,i'm ready to chase some lady around like i'm a fuckin' -year-old little boy.,i'm ready to run a girl like a -year-old boy.
28492,what's biting your ass this fair evening cousin?,what do you care about this evening cousin?
231665,your uterus is a womb of or -year-old girls.,her uterus to be frank is the a girl of twelve or thirteen.
564734,fucking hell.,oh hell.
296399,most people just stare at me like i'm some kind of freak in reinforced underwear.,most people just look at me like i'm some kind of weird-looking underwear.
572726,say something fat boy!,say something fat man!
388955,one shot will be enough.,one shot's all we need.
176823,since i talked the general into letting me run this project it's become a damn circus.,since when i talked the general into letting me lead this project it turned into a hell of a circus.
108191,my greatest fear is to make a really shitty embarrassing pompous film on an important subject and i am doing it.,i'm terrified of making a terribly bad embarrassing and pompous film on an important issue and that's exactly what i'm doing.
401300,little thief.,small time thief
362941,he's gonna be on my ass all night.,she's been snapping at me all night.
129445,sure lots of dogs smell indians.,but of course a lot of dogs feel indians.
87577,tell me my daughter's fiancé didn't do such a stupid thing and he didn't confuse the baby.,tell me that my daughter is betrothed did not commit the folly that pregnant - drop a maid.
318701,you want to tell me that you're going to spend your life in a dark room...... observing and writing books...... about what a fool in another dark room honked in his head...... about the things you've actually seen...... and you touched them and drew them with your own sand?,what are you telling me you wanna spend your life in some dark room... ...taking notes and writing books... ...about what some old putz in another room cooked up in his head... ...about things that you have actually seen... ...and touched and pulled out of the sand with your own hands?
187103,shut up.,quiet!
40523,oh bro i was thinking too most people i see they buy an eight ball from me in the afternoon next thing you know i'm getting a call at midnight asking me for more shit.,well i thought most people would buy the snow in the afternoon and by midnight they were calling me for more.
119995,does he want to kill him?,does she intend to kill him?
264851,i've got some bitches up in westchester too.,i also got a couple of westchester.
479515,"oh... well that's a pretty big ass that's true. """,well... that's a tall donkey right enough.'
9680,fine. just give me something crawling with parasites.,all right give me something where it's full of worms.
542429,you'd have been in deep shit and your child wouldn't have had a...,you'd be in big trouble and your baby shouldn't be...
285250,oh jesus. are all brothers assholes?,are they all brothers' brats?
182238,i'm just saying that we didn't kill your son.,i want you to know we didn't kill your son. we staged it.
510593,i look like a goddamn xylophone!,i look like a new xylophone!
568530,you know what tom? i don't give a rat's ass what you say.,tom i don't know what you're saying!
339387,how many times did you want my death?,how often have you wished me dead?.
107201,you all think that - i'm insane!,you all think i'm crazy!
225411,"""shut up.","""be quiet now."
56359,these pills are nearly bucks for one and that's literally two grand for a bag so why the fuck do you make me a hole in my bag krieger?,those pills are like eighty bucks each and the iv stuff is literally two grand a bag so why the hell are you poking a hole in my bag krieger?!
429898,but i am well aware you do not belong to the sect of the poor of lyons you wicked fox and you are trying to convince me you are not what you are not so i will not say you are what you are!,i know you don't belong in the lyons' poor foie gras and you're just trying to convince me that you're not what you're not not to tell you that you're what you really are!
442382,god it's dirty.,oh my god. it is so dirty.
129669,still if only reverend mother hadn't antagonized that wretched general-,still if the reverend mother hadn't alienated the poor general...
533419,listen fool i'm my cousin hubert.,listen peon. i am cousin hubert!
369325,remember the rule that kept the scum in check?,do you remember the rule that held the bottom in chess?
182649,seriously if the police found that shit it'd be way worse you know?,seriously if the cops found it it would have gotten much worse.
162830,what about the shit?,what about the stuff?
169602,my bullets are duds. try yours.,my bullets are empty.
20746,my daughter is about to get rid of her virginity by the local sperminator.,my daughter’s about to be deflowered by supersperm over there.
76946,those payments for the doctors will kill me!,the doctors' fees are killing me!
434749,killing the seeker is more important than any book apart from the secrets he's hiding.,killing the seeker is more important than any book no matter what secrets it may hold.
561529,okay another card is crazy is interesting because this fool means it's characteristic of men who don't seem to be what they are.,okay the next card is the fool now this is interesting because this fool means that it's representative of a man who is not what he appears to be.
157171,people think it's all about misery desperation and death and all that shite... ...which is not to be ignored.,people think it's all misery despair... and death and all those shrubs that don't get overlooked.
397585,okay. i should have changed that stupid lock should have thrown away the key if i'd have known for one second you'd be back...,i should have replaced the lock and i'd throw away the key if i thought you'd be back.
198881,well that sucks.,well that's too bad.
202169,how important is this pathetic man to you?,how important is that poor guy for you?
263743,"""that's silly we're just enforcing what's rightfully ours.","""nonsense we're just enforcing our contract."
425185,you know when i was your age there was only one thing you were allowed to be-- a man of the world a goddamn man of the world.,when i was your age there was only one thing we were allowed to... you're a knowledgeable man.
205738,that's none of your concern. then what the hell am i doing here?!,if i'm not interested what the hell am i doing here?!
289631,israel will explode.,israel explodes.
338205,what the hell does that mean?,what do you mean?
475082,i'd like a double espresso so i can stay up all night because i'm in the mood to fuck.,i'd like a double espresso to stay up all night because i want a wink!
273164,when you're and you have lots of energy and shit right?,when you're and you've got all your energy and that?
75291,i hope this suit wins you a barrel a fucking fortune.,i hope this lawsuit makes you a hell of a lot of money.
561796,hardly any of it just the loser part.,hardly any of it just part of the lost existences.
175962,so now you're gonna fuck with me?,will you fight me now?
537829,and so i take care of the countrymen on myself and the simple solution is to get rid of them.,and thus i take it upon myself to reach out to my brethren an-and present them with simple solutions to eliminate their suffering.
98378,why would i kill her?,but why would i kill her?
20367,the economics-- - fuck the economics!,economically... - seru on the economy!
284414,i'm not a pussy.,i'm not a chicken at all.
396064,scum eh?,donkey huh?
130083,sean. i don't want to hear from the stupid kid anymore!,i'm not gonna listen to this punk anymore!
132268,to be real you need at least three witches.,you needed at least three witches for a coven.
549944,willy's a biter. what's his name in prison?,willy's a crack addict and what's the other one's name in jail?
525472,well we could grind our enemies into talcum powder with a sledgehammer but gosh we did that last night.,we can crush the hammer of his enemies for a pill but we already did that yesterday.
137175,when it goes down there's sure to be lots of bullets flying.,when it comes out it's sure to fly a lot of bullets.
164770,you know i just about had it with that damn car.,you know i've had enough with the car.
566220,i don't give a damn!,i don't care!
283660,dear god with all your wisdom and grace give us strength and courage...... to kick those bastards's asses...,dear lord if it be within your great wisdom and mercy please grant us the strength and courage excuse me coach.
539260,lester you caught the pin you sly old dog.,lester you caught the pin you clever old dog.
156391,fuck it forget it.,frak it. never mind.
158646,i don't know why you chose to spend your summer here in this dump.,i don't know why you chose to spend your summer out here in the sticks.
43362,it's not the first time a lunatic claims he did a publicized crime...,it's not the first time a crazy person is reporting this.
496637,"""fish are damned civilized about it.","""fish are reasonably civilised in this respect."
17146,if she dies then this thing is gonna die with her.,if he dies the thing dies with her.
46054,this cursed holiness!,the accursed sanctity!
423871,it's a fuckin' setup.,it's a trick.
111448,the coworker both eats and shits etc cards.,co-worker eats and pisses on etc labels.
470080,it's silly people think they're at the top of the food chain.,to believe we're at the top of the food chain.
127546,nameless and brainless!',the nameless and unwittingly! '
431399,brother tommy i think we're plum crazy to throw in with this feller.,bro i think someone's gone crazy putting us together with this guy.
313928,you bitch will you come with us or not?,hooker you gonna come or what?
27610,we peed on top of him.,we pissed down on him from a hill.
64159,and if those cameras are connected to him it was a stupid joke and i'm sorry.,and if any of these cameras are hooked up to the actual scientology center that was an inappropriate joke and i apologize.
532355,please shut up.,please stop talking.
123086,this guy could run into the precinct and kill everyone in here in seconds.,this guy ran into the compound and killed everyone in a few seconds.
476793,i want his ass and i want it alive.,i want his skin and i want him alive.
317608,who the hell is that?,blimey who's that?
9580,why don't you drink a cup or so then stumble into your little girls' room so they can watch you writhe to death as it eats through your organs?,why don't you drink a cup and then you could stumble into your little girl's room so you can see the way the lye eats your organs?
168558,there's a midget with a gun on him.,there's a kind of liliput on him.
65100,he wouldn't have had any reason to kill her.,he had no reason to kill her.
494419,keep taking this shit if you want to.,keep on taking those blasts if you want.
34237,he tried to spit it out but the only thing he earned was a sharp punch in the face.,he tried to spit it out and was hit hard across the face for his trouble.
89408,"""then look at the real flames of my being or i will put you in a metal box for as long as i want.""","""then look upon the flames of my true being ere i bind you to yon metal flagpole for so long as it shall stand."""
479782,girls like smooches.,girls like fixer-uppers.
495425,and then... and then...... he told me to stop acting like a spoiled brat!,and then... and then... ...he told me to stop acting like some pampered baby!
367220,hooker has a bag of white powder.,hooker's got a bag of white powder in his hand.
49834,"you know a black man is a ""boy"" in mississippi ray.",you know a black man's still a guy in mississippi ray.
383207,bane dropped lightly and went to hug the witch.,bane leapt lightly to the ground moved in close and embraced the witch.
306321,i deal with every fuck on the planet.,i have to go out with every major turd on this planet.
269989,look at his esophagus.,take a look at the esophagus here.
467922,oh because they're murderers too!,cyril: oh. because they're assassins too.
294425,either suit's weapons could vaporize me or slice me like lunchmeat.,the guns of each of the suits could turn me into a pair or cut like lunchmeat.
546425,let them rot in hell for eternity if he keeps himself safe and comfortable here at interpol's headquarters while general amadori is about to send her to execution.,there was no way in hell that he was going to sit at interpol headquarters safe and comfortable while general amadori had her executed.
307939,i know we sound silly but i'll never get tired of hearing it.,i know it sounds silly but i've always had a lot of fun.
518836,then he'll die in it.,then he dies.
105065,i'm sorry to fuck alliser tonight.,i'll apologise to ser alliser tonight.
10366,if you don't give me money i'll kill you!,give me your money or i'll bust you up.
424814,i cursed myself for a thoughtless fool for in the exhilaration of the flight incomprehensible though it seems to me now i had forgotten the tatrix.,i made up my mind for nothing for as much as i seem to be misunderstood today i had forgotten the same joy of the flight on the tatrix.
561544,how the hell did we give the democrats a weapon like this?,how could we put such a weapon in the hands of the democrats?
368138,i got dressed packed and this is how my ramble around the country started a ramble which was a fucking gigantic drunken binge.,i dressed up packed up... and so my wandering mind started all over the country which was actually...
564412,after childbirth my mother went crazy and locked her up in a mental institution.,after my birth she went crazy... and was placed in a mental institution.
533520,who's that fat man?,who's this guy?
435807,just leave this fucking guy here.,we'll leave the old man here.
367109,well i don't have to listen to this crap.,i don't have to listen to anything like that.
540478,"got it off the christians about a million years ago and they never dust the goddam thing 'cause it's an infidel relic.""","they took it to the christians a million years ago and it's never repaired because it's a relic of non-believers. """
470743,yes the infidel.,oh. the nonbeliever.
328645,fucking pass!,jeez ! jesus !
536523,mac there's some crazy shit going on and mr. green's death is just the beginning.,mac something crazy is happening and mr. green's death is just the beginning.
32955,you don't touch the merchandise until we've seen some fucking coin.,don't touch the merchandise until we have an appointment.
153380,.no shit? what job?,what kind of job?
212127,the fat guy's not here to protect you.,linemen aren't here to protect you haole boy.
452095,"i wanna say ""bitch you mean to tell me you've been hearing this your entire life","""hell you're telling me you've been hearing that all your life"
66075,or you pull the shit out of your hat.,or pulling a rabbit out of a hat.
118100,shit i lost the signal.,man. lost the signal.
461340,she felt miserable.,she felt sick.
359818,shit.,prick!
118625,"""strikes me he's pretty much of a broke-dick "" boyle confided to pembry after they had dr. lecter secure in his cell.","""it's a mess to be taken "" he confided to boyle when lecter was safely in the cell."
368520,you came to me for help and i damned near clawed your face off instead.,you waited for help from me and i almost ran into your hair instead.
221183,hang them behind the trouser sandy.,hang these up by the feet sandy.
401803,what the fuck happened?,what happened to him?
374598,it really is too cold for this and it stinks in here.,it's really cold out here and it smells in here.
530507,how the hell did your prisoner get your freedom?,how the frell did one of your prisoners get loose?
111743,crap. his heart is likely to stop soon.,his heart will be stopped soon.
136261,back off sailor.,hey hold up sailor.
104551,just total fuckin' silence.,it's gonna be total silence.
321617,oh and by the way be nice because santa is bad-ass.,oh and by the way be nice 'cause santa's a bad guy.
164933,the man with the gun was now out of sight but the drivers still stared after him as he went uphill toward point venuti's lunatics.,the man with the gun was now not visible but the drivers watched him climb up the hill towards the mad men of point venuti.
132171,annias isn't going to need much time to come up with the idea of putting you out of the law and it's better if you show up on your own than taking you out there like a dirty criminal.,it won't take annias long to come up with the idea of declaring you outlaw for breaking your exile and it's better to appear on your own rather than be dragged in like a common criminal.
350056,no poor man doesn't like an ugly elf sandwich.,no no not poor sméagol. sméagol hates nasty elf bread.
420854,your majesty- to be torn apart by five horses.,being torn apart by a horse.
490984,over here max away from that pathetic blonde lady in the waitress uniform.,come here max far from the awkward blonde in the waitress uniform.
470137,is it because of that portuguese guy? the paedo?,is it because of this guy from portugal?
28167,you have a stiff neck 'cause you keep sucking on mr. kragen.,you got tension in your neck 'cause you keep going down on mr. kragen.
555990,and a dirty poet?,and closet poet?
496275,she's not a goblin or a monster she's just a very sick woman.,he's not even a leprechaun or a monster.
29243,they will lead me and hang myself for being hurt on my body.,they are going to take me out and hang me because i was found guilty of assault and battery.
478804,he can fart the themefrom jaws.,he can fart the music of jaws.
212889,how crazy was that shit last night? another crew comes to do the same fucking shit?,last night was crazy. do you know that another bunch of them came here to do the same thing we did?
183380,you're sick. you need help.,you're sick and you need help.
221260,those aren't ordinary hunters they're trained killers.,they're not ordinary hunters. they're special scouts.
433396,if you want to have fun at my expense i need you to beat me up or something.,if youneed to amuse yourself at my expense just-just rough me up or something.
534261,the third was hanging by her throat.,the third was hanging down under her neck.
295122,sorry i ran over your breasts.,okay sorry about that.
458654,it's fitting that cain killed his brother with a scythe.,it is significant that cain killed his brother with a scythe.
106361,eat up or i chuck it in the garbage.,eat it or it will end in a basket.
34979,"all right boys start the operation: ""shoot the moon.""",all right boys commence operation shoot the moon.
423582,what the hell were you talking about?,what were you talking about?
427866,you took a vow to be dead from the neck down?,did you swear you wouldn't live down the throat?
382136,i'm going over to your girlfriend's house and i'm gonna do her right on the couch!,i'll come to your girl's house and i'll make it on her couch.
156109,goddamn roasted cheese.,toasted bloody cheese.
484961,lazy.,laziness.
121080,his desert robes were not only dirty but he was bloody.,his desert robes were now not only dirty but bloody.
218320,who the hell would want to steal a cold falafel?,who in the world would want to steal a cold phalafel?
281840,no it's' cause i don't like you very much.,no it's because i don't really like you.
103783,he's such a demon who inspires various killers during the sciences.,he's sort of a demon that inspires killers throughout time.
154150,they're cry-babies and sissies and eat all the food!,it's a whimsical paddy and it's always eaten all the food!
135957,what is it like killing them?,what's it lik e to kill?
112948,but you don't need bloody brains to become the president of the united states.,but you don't need a brain to become president of the united states.
182663,and i worked on their silly platform and their shallow trench; and i watched and waited.,yet i worked upon their silly fence and their shallow ditch; and i watched and waited.
19800,i mean what the fuck would we do if he didn't buy it?,'what would we do if he didn't buy it?
319785,the fat man cpe the magazine into his coat pocket and stares in amazement.,the stout gentleman is stuffing the magazine into his overcoat pocket and looking on curiously.
334347,the jews taught me this great word - schmuck.,the jews have taught me one wonderful word:
563357,i hacked into my pouch for a cup and they took the cloth lightly to the root of the monkey's genitalia.,i reached into my bag for the jar and the spatula and applied a smear of the substance to the root of the monkey's genital cluster.
424665,the tits lack... gravity.,breasts are missing... gravity.
190878,now if you'll excuse me i have to go and see a man about a wank.,now if you'll excuse me i have to go and see the gentlemen about the hooch.
368865,so he wanted to give me money for a sex change operation.,so right away he wanted to give me money for the sex change operation.
153657,how could i be so stupid!,how could i be so blind!
240752,when you put on that mask... you became as much of a demon as the men you claim to oppose.,when you put on the mask you became the same demon you said you fought against.
104175,are you nuts?,are you on your head?
183961,if i leave i get fucked if i stay i get fucked.,if i leave they'll eat me if i stay too.
433618,raise your chin nicely boy and be damned grateful to those who brought your hand up to death.,hold up your head boy and be for ever grateful unto them which so did do.
177116,and i plunged her with dagger!,and then i jumped at her with a knife!
236947,is your wife always this much of a nag?,does your wife always give you such a hard time?
54778,with those jerks in suits sitting behind his desk?,that bunch of suits sitting behind a desk trying to justify their existence?
31672,get out of the fucking hall please.,get out of the hallway.
277628,but my grandmother did refer to a broken beer bottle once... ...as a nigger knife.,but once a grandmother spoke of a broken beer bottle as a non-german cone...
439854,if josie didn't kill your boy dean maybe it was the skater or his father.,if your boy dean in there didn't kill josie maybe the skateboard kid or his dad did it.
191551,you’ll also want grammar on the top shelf of your toolbox and don’t annoy me with your moans of exasperation or your cries that you don’t understand grammar you never did understand grammar you flunked that whole semester in sophomore english writing is fun but grammar sucks the big one.,on the upstairs floor of your toolbox a grammar book should also be found and don't go to me with your irritation or the screams that gramaments don't understand that you have never understood grammar that you have failed in high school language that writing is fun but grammar is a terrible ostrich.
536566,drink your father's dick!,drink yourself!
195153,you don't work for me you moron.,you don't work for me.
385045,see that's why my people spank my butt.,see this is why my people spank.
14618,you are nothing but mortal.,you're nothing but mortals.
546177,put your fists up. my nigga.,put your leash up.
267034,god knows i love that damn dog.,and i loved that dog.
405422,someone with huge means wants caroline turing to die.,that's a hell of a payday. someone with tremendous means wants caroline turing gone.
25713,her officers were swarthy bullies hating and hated by their crew.,her officers were eight crushing sea wolves a hate team and a man of hate.
92402,"""shut up.""","""hush."""
195847,they call me fuckin' quicks man.,they call me quick man.
26133,someone had either just missed blowing off his head or was really playing silly fuckers.,someone just failed to blow his head off or he was just playing tricks with him.
405415,in that case eat drink shit and fart all of that is related to kung fu?,in that case eat drink poop and fart is associated with kung fu?
453983,the photo may have changed my life... but if you're going to escape in the city of the gods you're dead...... and if you don't then too.,a photo might have changed my life... but in the city of god if you run you're dead... ...and if you stay you're also dead.
98699,i won't impose my presence after all the shit i caused.,after all i don't want to bother you with my presence.
205493,he promised me he would be merciful and then let him cut his head off.,joffrey did that. he promised he would be merciful and he cut my father's head off.
142713,and they gave them a dildo in place of diplomas.,probably gave them dildos instead of diplomas when they graduated.
486863,so tell me something what you fucking with him for?,then tell me what you got against him.
41443,that hillbilly sweetzer didn’t know what the fuck he had.,the buran sweetzer didn't know what the hell he was in his hand.
363417,it's like i'm a bloody king.,i feel like a king.
464030,did you bet everything on the damn double?,you bet everything on a stinking pair of twos?
63285,from my point of view it's fucking funny.,i gotta tell you from where i'm sitting that is so fucking funny.
405682,that shit was genius.,that was genius.
429279,in the gut.,in the stomach.
154814,she could be like a fucking witch or something.,maybe it's some kind of witch.
110229,which made jarre wonder why she had a sudden desire to slug limbeck in his sensible mouth.,which prompted jarre to wonder why he had suddenly wished to hit limbeck over the sensible mouth.
247121,even with the morphine i can tell it's gonna be a bitch.,even with morphine...... i can tell you it's going to be hell.
557129,dad it was a stupid accident!,dad it was a freak accident!
246281,if klaus really created our line we have to hide him before alaric finds him he will kill him and we will all die.,if klaus really is the sire of our bloodline we need to keep his body hidden before alaric finds him kills him and we all end up dead.
25445,this is ridiculous.,it's comical.
457908,gentlemen may i tell you that you look like a mess of worms?,gentlemen may i say you look like a bunch of freeloaders?
523227,yeah there you go again motherfucker jumping to conclusions.,yeah and it's matchup again jumping to conclusions.
513599,before the girls i put a knife in his heart.,in front of his companions in his heart i put my knife
334646,it could have been only one thing though she sounded crazy.,there was only one thing it could have been however little sense it made.
174047,you lay there and it's so warm cozy and wet and nice inside gitte's fresh norwegian uterus.,you're in my womb and it's nice warm humid and cosy and you feel wonderful inside of gitque's fresh norwegian uterus.
524954,he's just a solarian and an immature specimen.,it was just a solarian and an immature specimen at that.
43710,honor bore them for as long as she could then cleared her throat and cut them off.,honor bore it as long as she could then cleared her throat and broke it.
128927,"""i'm going to sit and watch tv and be a lump.""","""sit by the tv and i'll be the whistle-blower."""
507949,okay so we have a misogynistic horror film some rom com that's gonna make hate ourselves or a brain-dead comedy.,okay so we have a bad-ass horror movie (enemy to women) some romantic comedy that makes us hate or comedy zombies.
522378,don't try to think globally or you'll be crazy.,don't try to think global you'll drive yourself crazy.
275343,hey dick what about your knee?,hey toto how's that knee?
159865,bucks says i'll kick your ass salsa boy.,fifty bucks for beating you handsome!
439609,i thought you weren't like the fools around.,i thought you didn't like fooling around.
64878,so many fucking stairs.,too many steps.
246213,although tony did make me a kick-ass denver almond.,although tony has made me a denier denim mantle.
352247,chico a reasonable guy selfish still calculating is an ego.,chico the rational guy egotistic calculating all the time is ego.
320275,she might faint again . . . or vomit.,she could pass out again... or vomiting.
548778,ladies let's get these tits out of here.,come on come on! titty titty titty. get them titties outta here.
410406,i can't believe you kissed my sister with moth mouth.,i can't believe he was kissing my sister with my mouth.
409501,no nigga.,nah blud.
270686,frau braun... my wife and i will commit suicide.,my wife and i will take our lives.
113071,you know you could stab someone in the eye.,you know... ...you could put someone's eye out with that thing.
233565,get rid of him!,take care of him!
124086,your story is too fuckin' hot.,your story is a hell of a lot.
493344,nasty cows!,bad cows!
351834,hide your face so the world will never find you!,hide your face so no one in the world will find you.
47360,'cause i know if i came back i'd give him a heart attack.,'cause i knew if i went back to that bar i'd give that kid a heart attack.
41211,you mean you don't have a pulse on your butt?,you saying your booty ain't got a heartbeat?
244372,her and her cunts.,her with her johns.
323164,is that what you fuckin' want?!,is that what you want?
399294,all right the last one with an empty glass will hang the pub naked,stand back! ok. last one to empty their glasses runs naked around the bar.
191797,all that bullshit about the doctor bills the nursery stuff.,all the talk of accounts for doctors things for the nursery.
244507,i think i have amniotic sac in my mouth!,i guess i have that slime all over my mouth.
254664,did you kill all of them?,and you've done all seven?
8747,why didn't brody burn her?,why didn't brody go through with it?
51180,now we smash it.,now crush.
42112,"my grandma always said...... ""why buy a cow if you have a free sex?""","my grandmother always said... ..""why buy the cow when you get the sex for free? """
434332,our number is stabbed.,""" our number is stabbed right now."
301348,then castro came along and my father was on his ass.,then castro came and the father was on the pavement.
320376,it looks like charlie is in boiling water and will be burned soon.,seems charlie's in hot water... and she's about to get burned.
407709,look what you white folks did to my people.,look what you've done to my people.
354297,you scared me to death. damn you.,you scared the hell out of me.
551221,some people have a lot of crap huh?,some people have a lot of things right?
6648,when i'm not with you i have terrible ideas: house in fire you and grandpa dead.,when i'm not with you i imagine horrible things: the house on fire you and grandpa dead.
223152,woe betide the wretch who is born to behold this plain with the judgment hanging about his soul!,woe to the unfortunate man who will be condemned to be on this plain with a soul eternally damned.
446621,if i start talking shit that a witness got killed--,when i say that they killed a witness...
280888,fuck you!,all you!
534571,i'll die before i tell you anything!,i wouldn't even say it if i were going to die!
58483,hit it!,touche!
161977,it's fucked again.,it's out again.
80096,i have something to show you. holy crap.,i want to show you something.
506290,you ever been to bed with a syrian who chewed tobacco?,have you ever put yourself to sleep with a sifter chewing tobacco?
144696,you feel so sick you wanna die.,you feel so bad you'd die.
369400,the government is corrupt reduced my army.,the government is factionalised and has reduced my army.
182694,women can't do sumo.,there are no women in sumo
105468,a horrendous swirl of hypocrisy and deadlock.,ugly swirl of self-righteousness and blind hatred.
182843,he tried to kill you in reardon's lair.,this man tried to kill house reardon.
350122,i know it's a technicality but i tell you what you try to take this away from me i'll sock you in the face.,i know it's a formality but i'll tell you if you try to take it i'll take you up on it.
515560,my life sucks.,my life is all dark.
50291,and i don't mindtelling you nigger it's steady work.,and i don't have to tell you dude it's a stable job.
60912,you better hope not cuz that's when we leave your ass at the side of the road.,you better hope not 'cause then we'll drop you off somewhere.
219367,you look wasted.,you look devastated.
144747,god is will we should bounce to all the infidels of everything the muslim earth.,dio's will we should go to all the infidels of all muslim countries.
184060,best fighter? that's so dumb.,the best fighter?
267580,you already killed me.,you killed me.
27619,i'm the only one here who thinks this guy is a total nut job?,am i the only one who thinks this kid is an absolute weirdo?
35253,but his friend sheila hanson found out about it so you killed her.,but then his girlfriend sheila hanson figured that out and you killed her...
356465,i killed it!,i did it!
424170,he beat up an iraqi officer.,beating up an iraqi colonel
526771,traitor!,betrayer!
454272,what are you fucking doing?,what are you doing?
283760,the feds the military... all hell's gonna rain down on you.,the feds the army they all come down on you.
545182,shot pierced dying but not yet dead.,he was shot shot dying yet he was still not dead.
558588,don't pussy out on me.,don't let me in.
27840,oh you sweet thing that's fucked baby!,ah go you sweet thing. that's inhuman baby.
421899,fuck him.,screw that.
416060,there's weird shit everywhere man.,there's some weird shit going on.
524227,you're perfectly capable of taking care of your own shit.,you have a great care about your stuff.
331251,always start from the bottom legs hamstrings butt.,always start from the bottom legs hamstrings glutes.
115825,i will not sleep with women for money!,i'm not sleeping with my wife for money.
436622,i still don't know what gives you the idea... that i enjoy being used as a rubbish dump... for your unsavory reminiscences.,i still don't understand why you think i enjoy being a warehouse of your memories.
457249,i thought that morgan had the boner. oh my god connecticut is so classy.,i thought it was morgan. oh my god connecticut is at a level.
400232,i mean... you're lucky you ran into me and not some lunatic.,you're lucky you came across me not some psycho.
292639,she's the leader of an ancient order of witches the nightsisters.,she is the leader of an ancient witch's order sester night.
347723,get in the fucking car wayne.,get the hellin the car wayne.
442568,because you killed him spontaneously.,because you killed him impulsively.
