,source,target
134095,i mean you look miserable but not bad.,you look like torture but it's not bad.
296246,bullshit i'm here to win justice.,nonsense i'm here to do justice
484542,i'm telling you if my wife was still alive and she asked me to take a trip to italy i'd buy two first-class tickets and beat her ass to the airport.,i'm telling you if my wife is still alive and she told me to make a trip to italy i'd buy two first-class tickets and touch her personally at the airport.
473099,where the hell you going anyhow?,where are you going?
218185,i don't know what it is about you but you do bring out the devil in me.,i don't know what it is with you but... you bring a demon in me.
494890,you can turn it around so everyone can see how fucking awful it is.,could you turn that round just so other people can see how fucking freaky that is.
84284,nothing shit.,nothing. zero.
96184,where's the bitch?,where is the rat?!
197010,hey. does my vulva look swollen?,does my vulva look swollen?
25791,and i hope his ass hear me too.,and i hope he can hear me.
40007,and every guy secretly wants a boot to the face.,and every man secretly craves a shoe in his face.
272170,if you can't sacrifice scum like schmidt for those that only want their freedom... ...then you better take a hard look at your chosen profession.,if you don't sacrifice the types like schmidt for those who just want freedom you should think about your profession.
215300,you're... you're saying we should kill one son to save the other?,you... you're telling us that we should let one of our son be killed to save the other?
88953,back before any of this crazy shit happened.,before this crazy massacre happened.
219305,please you have to help me they want to kill me.,please! please you have to help me. they're trying to kill me.
166856,i'm the one who killed his wife in childbirth.,i'm the one who killed his wife by being born.
372154,it seems i've been judged juried and found pretty fucking guilty.,obviously i was found guilty pretty much.
373700,because you kill people under orders from your government.,because you murder on the order of your government.
188721,good. 'cause i've heard that rabies shots hurt like a bitch.,all right because i've heard that rabies shots hurt like a cow.
475585,leave us. your presence is an insult to my mother and to myself!,your presence offends my mother and me!
208865,at home in england i'd be shooting a tankard.,at home in england i'd be shooting grouse.
57033,a super hetero killing machine.,super straight killer machine.
450205,hi. i'm chuck bartowski total loser cheese ball addict.,hi. i'm chuck bartowski complete zero addicted to cheese balls.
12168,"stupid dime you don't even get on the sidewalk... is exactly the same dime that you pay for all those ""services""","the dime you don't even bother bending over to pick up on some sidewalk... is the very same dime you get ""bent-over"" for by all these ""services. """
427382,a lot of good people are gonna die.,a lot of decent people die.
263477,and then suddenly you come in with all of your asian-ness... and-and-and breasts and womb lady bits- and it all just comes rushing back to her and i-,and then all of a sudden you come in here with this... asiatism the breasts the discovery and the women's issues and it all comes back to her.
226872,you know perfectly well so don't waste my time trying to make a fool of yourself.,you know exactly so don‘t waste my time by being deliberately obtuse.
12226,fuckin' no ebola for me today thanks.,i'm not interested today thanks.
386209,there's a price on my head in three different countries and i'm fairly certain a fatwa was issued. you are so vain man.,there's a bounty on my head in three different countries and i'm pretty sure the fatwa was delivered!
5573,i don't give a shit about your client.,i don't care about your client.
45541,we're going to face scheduled medical exams for the rest of our lives not to mention the occasional surprise exam but look at the upside — they're gonna catch your ass-cancer wicked early.',"for the rest of my life i guess we'll have to undergo regular medical examinations not to mention occasional unannounced searches but you need to look at it from the better side - when something starts to trot in your stomach they'll find out about it before. """
458161,"say "" no shit.""","""no joking."""
531979,look at him sitting there like they don't do this shit every day.,look at him sitting here like he's not doing this every day.
105550,tell me eight balls. will we get fowler's grant?,tell me oh eight-ball will we get the fowler grant?
203735,"i got so much shit on my plate the last thing i need now... ...is looking at some random ""sponsor me"" tape.","i have so much planned that the last thing i need right now... is the surveillance of a ""sponsor me"" tape."
394901,we're stupid for you for those who spawned you we were wise.,we are mad in your eyes. we are wise for those who begot you.
420813,it sucks you had to grow up without a dad.,it's too bad he had to grow up without a father.
298969,the face and throat of josh lefevre were just blood spatters.,joshua lefevre’s face and neck were bloody messes his hands arms and legs too.
164129,cut him!,slice it!
167490,what are you looking at pig?,what are you staring at cop?
23580,when i heard he's a hotel chef i thought he'd be a fat loser but his face is,when i heard he owned the hotel i thought it would be some kind of slimy spy but his face...
481295,you just told him to shut up?,did you justtell him to shut up?
163108,check out time dick-cheese.,it's time to check out.
451,would it help you to forget how you fucked up my life?,would that help you to forget how completely you screwed my life up?
225629,"""now why in hell did you do that?"" said paul.","""why the hell did you let her go?"" snapped paul."
405463,shut up i saw him first.,i saw him first.
118172,malaysia's prime minister is evil!,prime minister ofmalaysia bad!
276971,if you need to stretch your legs buy a blow job off a lithuanian.,if you need to stretch your legs you can smoke some lithuanian.
460366,swear on it. - yes god damn it.,oh god yes pam please.
125108,holy shit!,holy smokes!
356847,the girl is crazy.,that girl is certifiable.
129163,suck it sharks!,eat the sharks!
574317,i couldn't just sit there and watch my roommate beat the shit out of my roommate.,i couldn't just sit by and watch them beat the hell out of my cellmate.
218500,how the fuck did you do...?,how did you get in?
446865,i'll pour it on your head!,i pour that cup on your head! keep it here.
39512,they're idiots but with biceps.,but in the meantime they've got the biceps.
31987,i'm late because her office gave me the wrong fucking time. woman:,i was late because her office called me a bad time.
213521,you know you guys suck right?,you know you know don't you?
529002,because of some christian ninny.,the christian husist.
236897,you got to hit the serial killer with the tv remember?,you have a serial killer with a television remember?
361512,well damn if you ain't so sweet you make sugar taste just like salt.,you're so sweet the sugar next to you tastes like salt.
347023,listen you dumb-ass there's a lot more in this job than $ and a photo on the wall.,look hard head there's a lot more to this job than bucks a month and chuck a lot more.
121623,and then one day... and who the fuck knows why... some irish guy about years old... he takes king benny and he flings him down a flight of stairs.,one day who knows why an irish guy...... around snatched king benny...... and threw him down the stairs.
150566,this one... and i think one other but i heard it sucks.,this one and there should be one but it's awful.
244815,brooding he sucked his bleeding finger.,he stuck his bleeding finger in his mouth and thought about it.
240934,jimmy are you crazy?,jimmy are you out of your head?
150242,who's movin’ to a shit hole like this?,who would move into a hole like that?
42470,get the hell out of my office.,get out of my office.
144239,now how the fuck do you make a fire?,how the hell do i make a fire?
61990,oh shit!,holy mackerel!
225677,'fields people like krystal weedon 'who's always calling everyone a twat 'which in most cases they are.,the people of poli like krystal weedon who each always call it ice-cream which in most cases is.
196678,here let me tie you up.,here let me tie this up for you.
221725,usually i hunger for her meat balls the way a jackal salivates for an injured possum. but he wrote a suicide note.,"the meatballs. ""usually after these mass balls lash out like a jackal drooling over an injured cooker..."""
269376,so you know what i'm saying you're never going to be a knight in shining armor you're just a pathetic innocent child who needs rescuing.,so take it from me -- you will never be a knight in shining armor. you're just a poor innocent child who needs saving.
124389,jeff shut up! minutes into what? the human residence will be cremated.,minutes to what? ...human residence will be incinerated.
227812,you nearly broke mrs. sucksbys heart!,you almost broke mrs. sucksby's heart.
472660,i'm gonna go to jail and johnny utah's gonna hit my ass.,i'm gonna go to jail and i'll pay and johnny utah gets his guy.
224965,makes me sick to see government employees looking at that filth marge.,i'm sick of seeing state employees look at the dirt marge.
236867,brothers man they always bitch --,brothers man they always swear.
327976,even if i didn't you don't think i'd be fool enough to stick around here do you?,if i didn't have to go do you think i'd be crazy to get myself killed?
79621,then he comes after me with a pair of frickin' six guns!,then he comes straight after me with a gun!
498978,i may be wrong sometimes... but i won't ever screw with your head.,i may be wrong sometime but i certainly don't want to confuse you.
321011,you kill innocent people!,you're killing innocent people.
528078,pretty ugly huh?.,pretty gross huh?
79251,my god you're a wicked woman! and i've told you a million times i wouldn't conceive with anyone else.,and i've told you a million times i wouldn't count on anyone but you.
56064,make him a heart biopsy.,biopsy his heart.
431289,i want you gone.,i want you to leave.
177928,we fill you up with morphine till it's coming out your ears and just limp your little ass up that reuge carpet.,we'll pump you up with morphine when you get your ears and then you'll come in with your little rod on the red carpet.
534544,uh no slave.,uh no longer a slave.
394650,forgive us all even white trash like starling here and bring her into my service.,forgive us all even for a pose like starling and bring her into my service.
89700,no dating just sex.,no date just sex.
91236,if i fell under the sword of that murderer... ..it might be my head in a basket.,if i came under the sword of the assassin my head could end up in the basket.
250064,please don't give me that crap about how the people would love me if they just knew me.,small talk that the people would adore me if he knew me.
433116,but your excellency-- - a liar!,but your excellency...
346916,then i will do my damnedest not to shoot him.,then i'll try not to shoot him.
413016,sperm's got vitamin c in that shit.,because there's vitamin c. in the semen.
432957,they've increased the production in police synthetics thanks to that shit this morning. so take all your complaints to chancellor cohaagen.,thanks to today's events they've increased the production of police androids so you complain to chancellor cohaagen.
105215,detective max payne- - is not available. - shit! - please leave a message.,detective max payne is not here please leave a message.
411314,do you want me to explain my dick?,"you'd like me to explain my ""t""?"
288926,frank thought he must be a hooker defend my honor or something.,frank thought he had to be macho... ...defend my honor or whatever.
271244,i don't fuckin' like that either.,i didn't like it either.
435452,did you ever tape sex?,ever make a sex tape?
242926,ten years ago i didn't care if dwight was getting married or he was going to die like an old drunken man.,ten years ago i didn't care if dwight got married or died a beet-farming bachelor.
424655,shit it was... i was embarrassed for you...,i was embarrassed for you!
408109,stop being an airhead!,stop messing around!
362378,they killed my mom and they took it.,they killed mom. we got them.
242032,blow all the tanks!,release all tanks!
276291,i tell you what. it's no skinwalker or black dog.,this isn't... not a werewolf or a black dog.
265379,i caught her with some big ass fucking zirconium diamond earrings.,i caught her once with huge diamond earrings.
428568,he went into the cockpit and shot the other pilot.,he goes into the cockpit and he shoots the co-pilot.
343164,by the end of today either that fucking moolie or me is gonna be in a body bag.,by the end of the day he'll be in a bag or mine.
532723,it was quite clear which side was in the right; it just wasn't his side dammit.,it was clear above the sun on whose side the truth was but the side was not his for god's sake.
45193,and if we find out somebody was lying we'll hire mafioso to rob you.,and if we find out someone's been lying... ...we'll just hire some mafia figure to rub you out.
48699,shit. i'll be back.,i'll be right back.
243771,you also knew he broke up with his girlfriend... ...so you can suck it.,yeah just like you knew he came here to tell me he broke up with his girlfriend.
351423,what a ridiculous story.,what a funny story.
545037,you son of a bitch you can gain much more than you expect.,you punk you can gain a lot more than you expected from this.
134265,get the fuck out cf there!,get out of there!
207666,shit!,sod it!
384912,it's a brat!,he's a whelp!
217424,what the hell was that?,what was that?
489990,you're a son of a bitch tom.,you're a punk tom.
511558,in that case it would certainly be hard enough to kill him.,that would obviously make it difficult to kill.
188099,he's very hot so blow him up okay?,if it's too hot you can just blow on it okay?
393950,what the hell took you guys so long?,what took you so long?
4891,do you know how many guys would kill to be in your place?,do you know how many guys would kill to be in your position?
543775,i bit him until he pulled back the flesh straining between us.,i bit him until he pulled away his lip stretched between us.
240680,your licks are really... juicy.,your play is... juicy.
514930,what did you tell him in case kenny didn't get the whole fucking story before?,what did you tell him i mean if you didn't tell him the whole thing before.
459586,it was glorious... and he had the sexiest legs i'd ever seen.,it was beautiful... and he had the sexiest feet i'd ever seen.
71476,our killer is big.,our killer's meticulous.
506106,no don't be silly. it's not human. it's mr. dracula.,don't be absurd. it's not a human but monsieur dracula.
412814,there's nothing wrong here not even tits.,nothing would graze here not even goats.
323038,all i want is two fat bitches and some cheeseburgers so cheeco can lick on them and two years' supply of rolling paper.,i'd like two puppies that smell like cheeseburgers... and cheeco would have picked them up...... and a stock of toilet paper for two years.
7472,we have the chance to make up our own shit we can grow our own garden and put little flowers and pansies and gay gnomes in it and water features and water sports and slings but no everybody wants to concrete the fucker over and get a gas barbecue.,we have a chance to build it we can grow our own garden where we put small flowers and milks and we'll put dwarves there and water sports and other things but not everyone is going through it to come to the barbecue.
503963,we're about to order uh fuck.,hey we'd like to order uh hell.
501860,don't you fucking believe me?,you don't believe me?
506147,you and me sitting here... ...watching tv while the good-looking owner of the house is on the deck... ...swapping spit with a hot chick.,you and i are sitting here watching tv when a good-looking homeowner on the terrace exchanging saliva with a sexy woman.
308695,maybe now you'll be able to forget this nonsense.,maybe now you'll be able to move past this nonsense.
146611,mom this is ridiculous.,mother this is perfectly absurd.
356269,we've got stupid hejkala pajdal frfni and bojsa.,okay ii avem pe um ii avem pe burny screamy stumpy bitchy si scaredy.
144616,she thinks a woman who wants to live alone in the mountains is crazy.,some believe a woman living alone up there has to be mad.
166269,i guess your boss is sick.,i take it your boss is feeling poorly.
373720,he knows if i get fucked up i won't drop dime on him.,he knows if he screws it up i'm not gonna bust him.
183459,tomorrow you'll freeze to death in the mountains.,tomorrow the mountain'il freeze you stiff.
328377,get them in their holes.,let them go to their pits.
226877,maybe next time we don't fuck up for a partnership meeting because you have to have chicken and waffles.,maybe next time we don't skip the partners meeting because you just have to have chicken and waffles.
36543,god she's such a fox.,god she's a female.
408257,i can't even imagine how bad that shit must sting.,not even as big as you i can't imagine how much he must burn.
236333,instead of his pants he put on a woman's underpass with a broad lace so he was clad in female underwear despite his apparent male gender including a basket case for huge breasts.,a pair of women's pantaloons ringed with wide frills served as its breeches and though it was obviously male the beast wore a woman's underpants and corset as well complete with cups for very ample breasts.
305323,so i'm gonna take another five goddamn seconds out of my incredibly valuable time and i'm gonna ask you again...,so i'll give you another five seconds of my incredibly valuable time and i'll ask again.
569853,i have to numb you up so i can stitch you up.,i need to get you numb so i can close the wound.
241127,i'll have my husband's name tattooed on his butt.,i'm getting my husband's name inked on my bootay.
419923,when you were in a shit you could have helped yourself.,you could represent yourself if you got in a beef.
468360,like you said i'm gonna fall out like your mother.,like you said i look just like your mother.
58078,shit! it would take me all day just to get started.,dude it would take a whole day to start.
324203,because if i goddamn can't control you... ...i might as well support you.,if i can't command you anymore...... then i can help you can't i?
329962,global warming will kill me.,th¡s global warming is killing me.
96710,no we have a meeting here and you're still shooting at me mate.,no it's just... it's... we're in a meeting here and you're dripping all over me dude.
220878,many of the officers who look like red-haired martians are in fact hornets whose brains have been devolved into foreign bodies.,many of the officers who appear to be red martians are in reality hormads whose brains i have been forced to transfer to the bodies of normal men.
474387,with what he already knew plus what i told him he’s a fucking menace!”,"with what he already knew and what i told him he posed a grave threat to us. """
188321,you're gonna knock her neck out.,you wring its neck.
436908,"""you are very gay here "" began the latter ""and i have had quite a pleasant half-hour while i waited for you.","""it's fun "" said yevgeny pavlovitch ""i was happy to wait half an hour for you."
179585,yeah toddy get rid of them both.,yeah toddy get them both off.
497097,okay look i'm really sorry about the arrow and i'm sure my partner had a perfectly good reason for killing all these guys.,look i'm really sorry about the arrow and my partner definitely had a good reason to kill them.
26032,there might be a killer in here.,there may be a killer.
275488,your audience cares fuck the audience! fuck them!,your audience cares. the audience! them!
277727,can i get the fuck out of here now?,can i get out of here now?
533085,they can hold us as long as they want but they can't arrest us 'cause we ain't do shit.,they can keep us here like they want but they can't take us because we're innocent.
43626,you son of a bitch!,little punk!
362277,"""they had a nasty human with them "" vinsint continued.","""they had a bad man with him "" vinsint continued shrugging his broad bare shoulders."
444396,you're a damn good woman painter.,you're a really good painter.
115240,i want to stab you in the eye.,i feel like to poke your eyes out!
61523,now get your ass out this car.,get out of the car.
357908,i know i look like a fighter but i'm a real pussycat.,i look like a tough guy but i'm like a lamb.
14134,who the hell can he be?,what the hell could it be now?
502347,on television i saw a man shoot himself in the head with a gun-gun.,i saw a television show once about a guy who got shot in the head with a nail gun.
387452,if you took a woman now you'd come apart like an old sack.,if you were going out with one you'd have laid out like an old bag.
574273,killers.,killers?
412271,randy sits down and watches amy watching those jerks at the game.,randy sits down and watches amy watching the nerds play their game.
529816,it is a second time since the jews began this war what had been carried out such an ugly attempt to kill our führer.,it is the second time since the jews started this war that such a heinous attempt has been made to assassinate our führer.
459576,and shoot me a duck would you?,and shoot for me the duck bye.
274866,you're really... dirty.,you're very... muddy.
555519,she's not my mother dammit.,she's not my mother.
232694,you also let an old man beat you bloody and take your sword.,and an old man punched you in the blood and picked up your sword.
428538,i hate them.,how i hate them
363908,if i'd had a black flag i know i'd have run it up in triumph.,if i was carrying a black flag i know i would have posted it to mark our victory.
517335,"""your liver should hurt too.""","""and the liver should hurt too."""
52988,that's 'cause she is annoying.,that's because she's annoying.
33040,in the head.,right in the head.
246777,if i didn't forgive you then i'd be a real cripple.,if i could not forgive then i would be truly handicapped.
387446,i'm going to hell.,i'm outta here.
215680,"""it was an albino baboon white as the moon and so stupid it never learned even a simple trick.","""it was an albino faded as a moon and a fool not one interesting piece of it."
104241,let me be miserable.,let me feel bad.
105467,amelia you smile this way again and i'll smash your face like a banana.,amelie smile like that once more and i mash your face like a plantain.
567515,open the door. shit.,open the door.
230079,no i don't like you.,no it's you.
158908,"""i'm sorry i've slept with your best friend "" ""but i'll always have a weakness for you.""","""i'm sorry i slept with your best friend but i'll always have feelings for you."""
465066,but you gave me a golden grace; you laughed to me when i called you ignorant.,but you pulled me out with a golden angle; derisively did you laugh when i called you unfathomable.
205983,black goes with everything.,black sits on top of everything.
81409,first i just tried to get the fuck outta there.,i was just trying to get out of there first.
388025,you don't let me borrow your phone but you expect me to give your ass a ride?,you won't let me borrow your phone but you expect me to take you?
489110,why? i have no idea but this shit ain't over.,i have no idea but this isn't over yet.
470451,god damn it! stop!,for god's sake!
46388,what are you gonna say to the shit board now?,now what are you gonna tell the board?
41501,i knew he was serious... ... knew he wanted me bloody just like him.,he wanted me to be covered in blood like he did.
237828,because you're holden fucking mcneil.,"because you're a holden ""magor"" mcneil!"
413087,you're a little too youngto become a dinosaur.,you should be careful. you're too young for a dinosaur.
81589,uh yeah um how about something sharp so i can slit my wrists?,yeah how about something sharp to cut my wrist?
16956,i don't have to ride the bus with losers anymore.,i don't have to take the bus anymore.
524907,by stealing their warp coils we can sentence them to death.,by stealing their warp coil we could be condemning them to death.
277887,i fuckin' bet you don't.,i'm sure you do.
570824,sub pop figured all of that stuff out by fucking up and trying to learn from them.,the sub pop figured out everything by screwing up and learning from it.
24942,bob was just really drunk and you know clowning around.,bob was just terribly drunk and you know he was showing off.
335692,i still think she's a lesbian.,i think she's a lesbian anyway.
490938,i was only years old damn it!,hell i only had years.
94868,do as i say... bend your tongue upwards and touch it to the roof of your mouth... like this... and now hit your front two bugs bunny teeth with it... dee!,bend your tongue up...... and touch the floor of your mouth...... and now you point it at the front teeth...
16608,shot in the back.,shot in the back...
264970,naturally but madam your husband is a hexer.,naturally but madam your husband is no less than the magician!
277432,you recognised yourself as a fake!,you've got yourself a fake!
325564,why don't you fuck off and be one then?,then why don't you try?
331676,you crook where are the rings?,you rascal where do you have the rings?
53,if it were his new press secretary would not be describing himself as “dopey.”,"if credible his new press secretary would not refer himself as ""dopey."""
495934,sure i like dags.,sure i like dogs.
73340,i hate that shit.,i hate that kind of talk.
334742,but the prisoners they'll die!,but there are prisoners they die!
153072,so shoot me i'd rather stay in a morgue.,i'd rather sleep in the morgue.
98111,"""and kill the devil's witch?""","""this will slay the evil sorceress?"""
493292,i'm just saying i'm not upset about you letting me die with a bomb right under my...,i just come by to say 'no hard feelings' about leaving me to die with a bomb strapped to my jewels travis.
348345,a loser in a career unhappy in love.,unlucky in business unlucky in love.
101582,they're made by these hardworking people right here and it is not right to make these people spend hours making extra chocolate boxes because people are too lazy to make a stupid phone call!,and it's not right to force these people to spend hours making the extra chocolate boxes just because someone is too lazy to call!
69462,what the hell is going on here?,what are you doing here?
249164,what the hell are you talking about?,what in god's name are you talking about?
520855,sir i asked you to be quiet and that means having your mouth shut.,sir i asked you to be quiet and it means being silent with your mouth.
157965,probably still on that smelly old land.,probably still in that rancid old loft.
75790,so these boobs...,so the breasts...
80938,we'll do our utmost to cure you.,we'll do everything we can to get you out.
133989,women go to death with men because they know every single moment in their lives and women feel safe.,women date men on death row because they know where they are every minute of the day and that makes them feel secure.
352241,we'll have our own world and you white people can have yours!,we'll have our own kind of world and you honkies can have yours!
370504,but poor poor. poorest fucking place i've ever been i think.,but it's... the poorest country i know.
475964,shit jae-wi.,dang jae-wi.
348433,i'm going to cure sam.,i heal sam while healing myself.
33379,that's fucked up.,that's nuts.
153648,who did you fuck this time?,who'd you piss off this time?
100351,at least you'd die like a man.,at least you would've died like a man.
144186,jack wondered in his mind that someone might have thought he wasn't a complete fool.,somebody jack speculated must have thought he was smart.
505850,they're all sick.,down there everyone's sick.
199215,get off my damn field.,get off the field.
572283,yeah by sarah's demented mother.,yes crazy sarah's maul.
532506,she's the thing that killed your daughter.,she's what killed your daughter.
305434,you got to know where something is... ...even if it's bad shit.,you know where to turn...... even if she's not good.
1856,i'll give you a beating.,i'll give it to you.
179380,we're in the middle of a goddamn minefield!,we're in the middle of a minefield.
56139,i found some more wank mags in darren's bedroom.,i found some porn magazines in darren's room.
494398,you're too soft.,or you're too mild.
367736,so if getting the internet will stop you from doing dumb crap like going on the roof to work i can live with that.,so if you can get rid of the internet from a lot of nonsense like climbing onto the roof if you're working i'll survive.
70915,"""i don't like a samurai in the back especially when he's holding a gun in his hand.","""don't like my back to samurai not when they've weapons in their hands."
442530,look at her. she can't shoot. shut up!,look at her. she can't shoot.
133557,how many of you can shoot?,how many among you shoot with purpose?
541710,charlotte's tits could have had me and they went to him?,charlotte tits could have had me and she went for that?
278754,you got mashed potatoes instead of your brain or what?,and neither did you. have you got mashed potatoes for brains or what?
72380,you on one and he's on the other side... it's like being at the bottom of a damn well!,you on one side and him on the other-- it's like being on the bottom of a bloody well !
188609,i'm screwed. i finally convince my dad to move closer and i can't find a single house that's gonna work for him.,i finally persuaded my father to move closer and i can't find a house that suits him.
397064,what the hell...?,what the devil?
563591,i'll punch a baby.,i'll even beat the kid.
20355,it's gonna kill me.,my eyes are killing me.
19529,no they uh... won't let me to play football if i have shitty grades.,no but if i had bad grades i wouldn't be allowed to play football.
312691,why you little bastard!,why you little!
488403,yeah. this is kinda stupid but you know i always wondered if they look like they do in the movies.,yeah it's too bad but i'm wondering if they look like movies.
409947,yeah and i'm gonna impregnate danica patrick while getting drunk in the sahara desert on a dune buggy.,and i'm going to impregnate danica patrick when i get to live on sahar on a desert buggy.
267538,maybe he's keeping it just 'cause he's got the pleasure of sucking his life out of them.,maybe it's holding them just to prolong the pleasure it takes from snuffing the life out of them.
533612,it's not going to repeat...... you won't get a second chance if you fuck up the first time.,no second chances to make things right if you frakked them up the first time.
86714,that's my sonofabitch.,he's my butler.
303748,what kind of guy takes a shit in a high-pressure situation like this?,what kind of a man does he dream of in such a stressful situation?
67009,there wasn't much choice for a black man in the military.,now there weren't a lot of choices for a black man in the army.
432571,oh shit!,oh geez.
288162,mom mom mom... just shut up with that,"""mom mom..... .stop it."
177779,your performance tonight was pathetic.,your set tonight was terrible.
550656,because i figured he was the fucking bay harbor butcher!,because i find out he's the bay harbord butcher!
453747,whoa whoa whoa get the fuck up out of here wolf.,hey hey get out of here wolf.
340604,she'll die again inside his grave.,but he will die again at his grave.
343655,but you should understand how he falsely feels a man when he learns he underpaid the legislature to join the camp but he didn't bring the corrupt bastards to lift a warrant for murder on him.,but you'd understand how a man would feel aggrieved learning that he bribed a legislator to annex a camp but hadn't got the sold-out cocksuckers to lift a murder warrant against him?
340585,they're savages with bows and arrows. whose sole occupation for the last thousand years has been war.,they are savages with bows and arrows...... who have ruled this country for years.
273914,devery poisoned the cake planned to kill eleka and let the crime charge her.,devery poisoned the fruitcake planned to kill elek and have her blamed for the crime.
11673,i don't give a fuck about her.,i don't care about her.
350885,i'll give you an injection.,i'll give you a shot.
88404,are you crazy?,"have you gone mad?"""
409543,i think i've been a pretty good sport about all this so far. but i'm not going anywhere until i find out where the hell you came from.,i've taken it with my mind but i'm not going anywhere until you say where you came from.
201459,no one talks about this shit-fried eggplant.,nobody's really talking about the fact that i fried the eggplant.
173308,"""animals in nature die in one piece damn it.","""hell animals die in nature all the time."
479701,anna shut up.,anna keep quiet.
126655,you know she's naive.,you say you're naive.
457375,he could never take a form that seemed slimy but he became black and hideous so his power was only in terror.,he was unable ever again to assume a form that seemed fair to men but became black and hideous and his power thereafter was through terror alone.
522901,shut up i'm not leaving.,i'm not leaving.
571273,damn the phone!,oh my god! the phone!
153357,what the hell does he have such a gun for?,what's a guy doing with a gun like that?
469897,keep these in your fucking mouth.,keep it in your mouth.
422510,i should think you'd be glad to leave that wretched place back there.,i thought you'd be happy to get out of this lousy place.
571322,eddie would have found sex in almost everything.,jane: eddie could find the sex factor in almost any subject.
403054,i can't listen to this shit anymore.,i can't listen to it anymore.
234187,don't fall in the river and someone mistake you for a fucking floating turd.,don't fall in the river someone might mistake you for a floating turd.
191374,damn i was asleep.,man did i sleep.
348507,if it would help him channel i'm sure the mother would be happy to cut off his ear.,if it had helped him to connect his mother would have been happy to cut his ear off with joy.
111003,cathars don't believe in procreative sex.,the caterers don't believe in reproductive sex.
557835,you go get a court order and i'll sue your ass for wrongful prosecution!,and i'll sue you for unauthorized prosecutions.
378331,you are molesting my hunt!,you're ruining my hunt!
380015,goddamn it! just put down the phone so i can think!,put down the phone so i can think!
522141,the fall alone should have killed you.,the fall alone could have killed you.
524569,if he's hanging by his neck he's already got a rope.,if he's on a rope he's probably gone.
494474,the only person in his fucking universe he loved as his daughter.,the one person in his screwed-up universe that he genuinely loved like a daughter.
564230,and mikey's their fucking ringleader.,and mikey is their leader.
310538,i know it sounds weird to say this but i'm really glad i hit you with my moped.,i know it's gonna sound really weird but i'm really glad i bumped into you with that moped.
44611,if i were to write five years ago what can't happen to me is that you're gonna put a bullet in my head...,you know five years ago if i had to make a list of impossible things that could never happen you performing a coup de gréce on me by busting a cap in my crown...
413110,"""i just throttled him one night when he was sleeping.","""i strangled him one night when he was asleep."
543497,you pagan animal.,pagan beast! oh!
418578,mr. urwin seems to be the last collector of excrement.,mr urwin is perhaps the last remaining night-soil man of this parish.
478910,no it's bigfoot the mythical creature that's responsible for countless hours of shitty programming on the discovery channel.,no it's bigfoot the mystical creature responsible for the countless hours of discovery channel programs.
529619,show me some respect dummy.,show some respect dude.
560535,seven billion narcissists all alone together on a big dead rock.,seven billion narcs on one big dead stone.
147465,fuck the questions lex!,rhetorical question lex!
276473,"""your mother is dead "" said mercy sternly.",“your mother’s dead ” mercy said sternly.
381708,asshole.,creep!
2446,you look stupid in that picture.,you take a terrible picture.
469526,someone you'll tear to pieces right in front of him.,someone to tear you apart in front of him.
180404,hit him in the tail again.,all right he called him on his tail again.
270432,who said what about dirty cops?,wait. who said anything about dirty cops?
188683,"i went with ""i've got boobs"".","i did ""i have boobs."""
126382,you're effeminate which is good for me because it would be a simple transition.,you're real feminine you know which is good for me... because that would be a simple sort of transition.
355109,the tears had withdrawn my throat but i should be damned if i cut myself.,tears tightened my throat but i'd be damned if i'd cry.
265797,fiona plopped down on all fours and practically glued her face to the diamond; her butt popped into the air.,fiona collapsed to her hands and knees and practically shoved her face against the diamond her fundament aloft.
228361,do you know who you're fucking with?,do you know who you're going to?
170792,i can't just shoot someone like an animal.,i can't shoot someone like an innocent dog.
25289,"""just give me the smack!""","""just give me the dope!"""
576486,two brats wanted to burn me.,two kids tried to set me on tire.
401476,it doesn't matter if the girl is short fat thin and tall.,it doesn't matter if a girl is short fat skinny or tall
154353,i'm hungry as cold i'm sick poor as a beggar.,"""i am hungry as the winter."" ""i am sick anxious poor as a beggar."""
123832,go hang out with your bearded freak friends.,walk with your bearded friends.
182529,ugh! ah! gross!,oh gross!
198282,they'd have done it twice the same day i expect were they not afraid of killing me.,i expected them to do it twice in one day but they were afraid they'd kill me.
158068,he was a killer!,oh he was a real killer!
265544,"""we should have stuffed him into the hole behind his friends "" said dextrinos.","""we could shove him down the hole with those friends of his "" said mealy."
296022,now you idiots want to hit our friends right away?,now you butt heads with these friends of ours you're gonna come at them head-on?
158160,fantasy football has turned every man in this town into a trash-talking monster.,fantasy football has changed everyone in the volcano monster.
169956,eleanor what the hell is going on?,eleanor! what is going on?
298006,fuckin' hell mate.,dude dude.
184691,people were joking about god taking his face out of the garbage.,people used to joke that god had trashed his face.
87660,who turned my client into a goddamn vegetable?,who made my client a living corpse?
15224,it's a dildo.,vibrator!
32674,set a fire to burn the evidence.,he started a fire for burning evidence.
256009,you... you switched the goddamn tape!,you switched the tape!
149444,these fucking crutches are too long!,those crutches are too long!
128268,well let them break their heads if they have no more sense inside.,well let them break their heads when their common sense is missing.
417606,this godless world devoid ofjustice and compassion consisting only of selfishness cruelty and hatred.,this godless world without warmth and justice which is full of selfishness cruelty and hatred.
488648,life with a schizophrenic has signed on to you.,living with a schizophrenic has really taken a toll on you.
478606,holy shit!,holy drok !
